,Time,Observed rainfall - 01/08/2022 00:00,Urban net rain mm (Observed rainfall - 01/08/2022) - urbanised model,Rural net rain mm (Observed rainfall - 01/08/2022) - urbanised model,Sewer loss m3/s (Observed rainfall - 01/08/2022) - urbanised model,Total net rain mm (Observed rainfall - 01/08/2022) - urbanised model,Direct runoff m3/s (Observed rainfall - 01/08/2022) - urbanised model,Baseflow m3/s (Observed rainfall - 01/08/2022) - urbanised model,Total flow m3/s (Observed rainfall - 01/08/2022)- urbanised model
97,01/08/2022 01:37,0.0400765458426667,0.0031060978911696,0.0041674538952796,0,0.0072735517864492,0.0733881628566912,0.144384821181217,0.217772984037909
98,01/08/2022 01:38,0.0400765458426667,0.0031067026121148,0.0041706714319449,0,0.0072773740440597,0.0747591326817323,0.144387051681768,0.2191461843635
99,01/08/2022 01:39,0.0400765458426667,0.00310730733306,0.0041738889686102,0,0.0072811963016702,0.0761459042364964,0.144390222058041,0.220536126294537
100,01/08/2022 01:40,0.0400765458426667,0.0031079120540052,0.0041771065052755,0,0.0072850185592807,0.0775484845199085,0.144394342949035,0.221942827468943
101,01/08/2022 01:41,0.0400765458426667,0.0031085167749504,0.0041803240419409,0,0.0072888408168913,0.0789668805308934,0.144399424998659,0.223366305529552
102,01/08/2022 01:42,0.0400765458426667,0.0031091214958956,0.0041835415786062,0,0.0072926630745018,0.0804010992683758,0.144405478855729,0.224806578124105
103,01/08/2022 01:43,0.0400765458426667,0.0031097262168408,0.0041867591152715,0,0.0072964853321123,0.0818511477312806,0.14441251517397,0.22626366290525
104,01/08/2022 01:44,0.0400765458426667,0.0031103309377859,0.0041899766519368,0,0.0073003075897228,0.0833170329185325,0.144420544612008,0.22773757753054
105,01/08/2022 01:45,0.0400765458426667,0.0031109356587311,0.0041931941886022,0,0.0073041298473334,0.0847987618290565,0.144429577833374,0.229228339662431
106,01/08/2022 01:46,0.0400765458426667,0.0031115403796763,0.0041964117252675,0,0.0073079521049439,0.0862963414617773,0.144439625506503,0.23073596696828
107,01/08/2022 01:47,0.0400765458426667,0.0031121451006215,0.0041996292619328,0,0.0073117743625544,0.0878097788156197,0.144450698304724,0.232260477120344
108,01/08/2022 01:48,0.0400765458426667,0.0031127498215667,0.0042028467985981,0,0.0073155966201649,0.0893390808895085,0.144462806906271,0.233801887795779
109,01/08/2022 01:49,0.0400765458426667,0.0031133545425119,0.0042060643352635,0,0.0073194188777755,0.0908842546823685,0.144475961994269,0.235360216676638
110,01/08/2022 01:50,0.0400765458426667,0.0031139592634571,0.0042092818719288,0,0.007323241135386,0.0924453071931246,0.144490174256742,0.236935481449866
111,01/08/2022 01:51,0.0400765458426667,0.0031145639844023,0.0042124994085941,0,0.0073270633929965,0.0940222454207016,0.144505454386604,0.238527699807306
112,01/08/2022 01:52,0.0400765458426667,0.0031151687053475,0.0042157169452594,0,0.007330885650607,0.0956150763640243,0.144521813081664,0.240136889445688
113,01/08/2022 01:53,0.0400765458426667,0.0031157734262927,0.0042189344819248,0,0.0073347079082176,0.0972238070220174,0.144539261044618,0.241763068066636
114,01/08/2022 01:54,0.0400765458426667,0.0031163781472379,0.0042221520185901,0,0.0073385301658281,0.0988484443936059,0.144557808983054,0.24340625337666
115,01/08/2022 01:55,0.0400765458426667,0.0031169828681831,0.0042253695552554,0,0.0073423524234386,0.100488995477714,0.144577467609444,0.245066463087158
116,01/08/2022 01:56,0.0400765458426667,0.0031175875891283,0.0042285870919207,0,0.0073461746810491,0.102145467273268,0.144598247641146,0.246743714914414
117,01/08/2022 01:57,0.0400765458426667,0.0031181923100735,0.0042318046285861,0,0.0073499969386596,0.103817866779191,0.144620159800401,0.248438026579593
118,01/08/2022 01:58,0.0400765458426667,0.0031187970310187,0.0042350221652514,0,0.0073538191962702,0.105506200994409,0.144643214814335,0.250149415808744
