Cluster_num,MaxRainfallIntensity,MaxRainfallIntensityMinute,TotalFloodedArea,%Diff_FloodedArea_fromSP,%Diff_FloodedArea_fromSP_formatted,Abs%Diff_FloodedArea_fromSP,UrbanFloodedArea,%Diff_UrbanFloodedArea_fromSP,%Diff_UrbanFloodedArea_fromSP_formatted,Abs%Diff_UrbanFloodedArea_fromSP,WorstCaseDepth_ncells,WorstCaseVelocity_ncells,<=0.25m/s_propcells,0.25-0.5m/s_propcells,0.5-2m/s_propcells,>2m/s_propcells,<=0.3m_propcells,0.3-0.6m_propcells,0.6-1.2m_propcells,>1.2m_propcells,<=0.25m/s_propcells_urban,0.25-0.5m/s_propcells_urban,0.5-2m/s_propcells_urban,>2m/s_propcells_urban,<=0.3m_propcells_urban,0.3-0.6m_propcells_urban,0.6-1.2m_propcells_urban,>1.2m_propcells_urban,<=0.25m/s_countcells,0.25-0.5m/s_countcells,0.5-2m/s_countcells,>2m/s_countcells,<=0.3m_countcells,0.3-0.6m_countcells,0.6-1.2m_countcells,>1.2m_countcells,<=0.25m/s_countcells_urban,0.25-0.5m/s_countcells_urban,0.5-2m/s_countcells_urban,>2m/s_countcells_urban,<=0.3m_countcells_urban,0.3-0.6m_countcells_urban,0.6-1.2m_countcells_urban,>1.2m_countcells_urban,Low hazard_numcells,Moderate hazard_numcells,Significant hazard_numcells,Extreme hazard_numcells,Low hazard_propcells,Moderate hazard_propcells,Significant hazard_propcells,Extreme hazard_propcells,Hazard_3CatsLower_countcells,Hazard_2CatsLower_countcells,Hazard_1CatsLower_countcells,Hazard_SameCat_countcells,Hazard_1CatsHigher_countcells,Hazard_2CatsHigher_countcells,Hazard_3CatsLower_propcells,Hazard_2CatsLower_propcells,Hazard_1CatsLower_propcells,Hazard_SameCat_propcells,Hazard_1CatsHigher_propcells,Hazard_2CatsHigher_propcells
6h_feh_sp,0.201255196375497,180,42.5286,0.0,,0.0,14.389875,0.0,,0.0,,,88.5,8.0,3.5,0.0,54.3,28.5,12.8,4.4,95.4,4.1,0.5,0.0,60.0,22.1,11.1,6.8,1505860,135930,59354,0,924130,484428,217326,75323,549204,23318,3073,0,345423,127463,63901,38860,799151,354636,500786,46571,47.0,20.8,29.4,2.7,,,,,,,,,,,,
6h_sp,0.269190640429582,180,43.1988,1.58,+1.58%,1.58,14.5351,1.01,+1.01%,1.01,59139.0,274307.0,88.4,8.1,3.6,0.0,54.4,28.3,12.8,4.4,95.3,4.2,0.5,0.0,60.0,22.1,11.1,6.7,1526698,139555,61698,1,940776,489391,221925,75917,553875,24374,3155,0,348996,128706,64699,39056,816149,350414,513733,47656,47.2,20.3,29.7,2.8,,88.0,24810.0,1675916.0,110.0,4.0,,0.0,1.5,98.5,0.0,0.0
6h_dt,0.43757235941833,300,42.907775,0.89,+0.89%,0.89,14.454725,0.45,+0.45%,0.45,81508.0,115781.0,88.6,8.1,3.3,0.0,54.7,28.6,12.3,4.4,95.6,3.9,0.5,0.0,60.0,22.1,11.2,6.8,1521221,138190,56900,0,938305,491102,211794,75167,552589,22632,2968,0,346840,127584,64688,39130,813896,351152,503838,47425,47.4,20.5,29.4,2.8,1.0,144.0,28876.0,1629351.0,23091.0,638.0,0.0,0.0,1.7,96.9,1.4,0.0
6h_spt,0.509581063394732,249,44.477575,4.58,+4.58%,4.58,15.074525,4.76,+4.76%,4.76,1515806.0,1128765.0,87.4,8.7,4.0,0.0,54.5,28.1,12.9,4.4,94.6,4.8,0.6,0.0,60.3,22.2,11.0,6.6,1554126,154447,70529,1,970371,500404,230352,78033,570127,29123,3731,0,363438,133730,66132,39734,842244,344225,540426,52208,47.3,19.3,30.4,2.9,2.0,1577.0,82681.0,1614503.0,706.0,15.0,0.0,0.1,4.9,95.0,0.0,0.0
6h_ms,0.43757235941833,330,42.35915,-0.4,-0.4%,0.4,14.230775,-1.11,-1.11%,1.11,19208.0,159069.0,89.1,7.8,3.1,0.0,55.2,28.5,11.9,4.3,95.9,3.6,0.5,0.0,60.0,22.0,11.2,6.8,1509923,132073,52370,0,935102,483611,202027,73683,545930,20529,2772,0,341334,125003,63954,38993,805485,360946,482551,45384,47.5,21.3,28.5,2.7,1.0,107.0,22937.0,1587239.0,52889.0,2144.0,0.0,0.0,1.4,95.3,3.2,0.1
