Time,100 year design rainfall - FEH 2013 model,Urban net rain mm (100 year) - as 100% rural model,Rural net rain mm (100 year) - as 100% rural model,Sewer loss m3/s (100 year) - as 100% rural model,Total net rain mm (100 year) - as 100% rural model,Direct runoff m3/s (100 year) - as 100% rural model,Baseflow m3/s (100 year) - as 100% rural model,Total flow m3/s (100 year) - as 100% rural model
00:00:00,0.0345003252281381,0,0.00628393943480291,0,0.00628393943480291,0,0.32458752680934,0.32458752680934
00:01:00,0.0349292918518183,0,0.00636513523510367,0,0.00636513523510367,5.12286951288296E-06,0.324479552089629,0.324484674959142
00:02:00,0.0353623883091154,0,0.00644719771718164,0,0.00644719771718164,2.05576714791182E-05,0.32437162317527,0.324392180846749
00:03:00,0.0357996428340432,0,0.00653013492069097,0,0.00653013492069097,4.6437499300735E-05,0.324263750033109,0.32431018753241
00:04:00,0.036223282083312,0,0.00661070536229612,0,0.00661070536229612,8.28968660276602E-05,0.324155942755368,0.324238839621396
00:05:00,0.0366467105476667,0,0.00669135360558839,0,0.00669135360558839,0.000130069068350444,0.324048211559703,0.324178280628053
00:06:00,0.0370739146156996,0,0.0067728093676425,0,0.0067728093676425,0.000188085536925659,0.323940566787677,0.324128652324603
00:07:00,0.0375049175422125,0,0.00685507968948526,0,0.00685507968948526,0.000257078424151575,0.323833018904174,0.324090097328325
00:08:00,0.0379397426614623,0,0.00693817167874842,0,0.00693817167874842,0.000337181204797064,0.323725578498334,0.324062759703131
00:09:00,0.0383784133872156,0,0.00702209251047144,0,0.00702209251047144,0.000428528687536036,0.323618256284796,0.324046784972332
00:10:00,0.038820953212804,0,0.00710684942791419,0,0.00710684942791419,0.000531257026591138,0.323511063104939,0.324042320131531
00:11:00,0.0392737687777007,0,0.00719361922074953,0,0.00719361922074953,0.000645503733488007,0.323404009928144,0.324049513661632
00:12:00,0.0397385465243513,0,0.00728271664953633,0,0.00728271664953633,0.000771408642317002,0.323297107853518,0.324068516495835
00:13:00,0.0402075597716563,0,0.00737273091796456,0,0.00737273091796456,0.000909115125692914,0.323190368112672,0.324099483238365
00:14:00,0.0406808356530598,0,0.00746367038352992,0,0.00746367038352992,0.00105876920123138,0.323083802072647,0.324142571273878
00:15:00,0.041158401402777,0,0.00755554348674799,0,0.00755554348674799,0.00122051838823565,0.322977421237868,0.324197939626103
00:16:00,0.0416402843558978,0,0.00764835875218564,0,0.00764835875218564,0.00139451172139088,0.322871237251545,0.324265748972936
00:17:00,0.0421265119484921,0,0.00774212478950532,0,0.00774212478950532,0.00158089976459461,0.322765261897094,0.324346161661689
00:18:00,0.0426183968971771,0,0.00783708669504429,0,0.00783708669504429,0.00177983462492512,0.322659507099565,0.32443934172449
