Time,Total net rain mm (Observed rainfall - 01/08/2022) - urbanised model
2022-08-01 00:00:00,0.008563203373059552
2022-08-01 00:01:00,0.00866198782220935
2022-08-01 00:02:00,0.00876205754083063
2022-08-01 00:03:00,0.008863431946872315
2022-08-01 00:04:00,0.008966130808753942
2022-08-01 00:05:00,0.00907017425306726
2022-08-01 00:06:00,0.009175582772487402
2022-08-01 00:07:00,0.009282377233898837
2022-08-01 00:08:00,0.009390578886746409
2022-08-01 00:09:00,0.009500209371602635
2022-08-01 00:10:00,0.009611290728978332
2022-08-01 00:11:00,0.009723845408387527
2022-08-01 00:12:00,0.009837896277639606
2022-08-01 00:13:00,0.009953466632406927
2022-08-01 00:14:00,0.01007058020606763
2022-08-01 00:15:00,0.010189261179811254
2022-08-01 00:16:00,0.010309534193038594
2022-08-01 00:17:00,0.0104314243540648
2022-08-01 00:18:00,0.010554957251117436
2022-08-01 00:19:00,0.010680158963671
2022-08-01 00:20:00,0.010807056074093907
2022-08-01 00:21:00,0.010935675679645401
2022-08-01 00:22:00,0.01106604540483258
2022-08-01 00:23:00,0.011198193414116514
2022-08-01 00:24:00,0.011332148425017452
2022-08-01 00:25:00,0.011467939721597709
2022-08-01 00:26:00,0.011605597168371506
2022-08-01 00:27:00,0.011745151224607508
2022-08-01 00:28:00,0.011886632959108578
2022-08-01 00:29:00,0.01203007406541351
2022-08-01 00:30:00,0.012175506877487807
2022-08-01 00:31:00,0.012322964385903967
2022-08-01 00:32:00,0.012472480254524632
2022-08-01 00:33:00,0.012624088837717262
2022-08-01 00:34:00,0.012777825198123038
2022-08-01 00:35:00,0.012933725124980977
2022-08-01 00:36:00,0.01309182515306373
2022-08-01 00:37:00,0.013252162582216898
2022-08-01 00:38:00,0.013414775497539333
2022-08-01 00:39:00,0.013579702790235848
2022-08-01 00:40:00,0.013746984179161592
2022-08-01 00:41:00,0.01391666023307786
2022-08-01 00:42:00,0.014088772393675175
2022-08-01 00:43:00,0.01426336299937253
2022-08-01 00:44:00,0.014440475309916767
2022-08-01 00:45:00,0.014620153531854974
2022-08-01 00:46:00,0.014802442844872865
2022-08-01 00:47:00,0.01498738942906952
2022-08-01 00:48:00,0.015175040493175085
2022-08-01 00:49:00,0.015365444303797826
2022-08-01 00:50:00,0.015558650215696579
2022-08-01 00:51:00,0.01575470870315321
2022-08-01 00:52:00,0.015953671392499924
2022-08-01 00:53:00,0.01615559109581466
2022-08-01 00:54:00,0.016360521845890985
2022-08-01 00:55:00,0.016568518932492116
2022-08-01 00:56:00,0.016779638939971586
2022-08-01 00:57:00,0.016993939786333234
2022-08-01 00:58:00,0.017211480763767995
2022-08-01 00:59:00,0.01743232258076055
2022-08-01 01:00:00,0.017656527405838784
2022-08-01 01:01:00,0.017884158913031967
2022-08-01 01:02:00,0.0181152823291304
2022-08-01 01:03:00,0.01834996448283044
2022-08-01 01:04:00,0.018588273855862147
2022-08-01 01:05:00,0.0188302806361913
2022-08-01 01:06:00,0.01907605677340707
2022-08-01 01:07:00,0.019325676036392236
2022-08-01 01:08:00,0.019579214073415563
2022-08-01 01:09:00,0.01983674847474748
2022-08-01 01:10:00,0.020098358837944974
2022-08-01 01:11:00,0.02036412683593347
2022-08-01 01:12:00,0.020634136288059324
2022-08-01 01:13:00,0.020908473234231728
2022-08-01 01:14:00,0.021187226012363114
2022-08-01 01:15:00,0.021470485339245116
2022-08-01 01:16:00,0.02175834439511748
2022-08-01 01:17:00,0.022050898912024497
2022-08-01 01:18:00,0.022348247266307908
2022-08-01 01:19:00,0.02265049057535684
2022-08-01 01:20:00,0.02295773279891966
2022-08-01 01:21:00,0.02327008084523352
2022-08-01 01:22:00,0.02358764468224095
2022-08-01 01:23:00,0.02391053745420546
2022-08-01 01:24:00,0.024238875604061016
2022-08-01 01:25:00,0.024572779001806655
2022-08-01 01:26:00,0.024912371079352624
2022-08-01 01:27:00,0.025257778972229916
2022-08-01 01:28:00,0.02560913366851869
2022-08-01 01:29:00,0.025966570165559366
2022-08-01 01:30:00,0.026330227634858927
2022-08-01 01:31:00,0.02670024959576267
2022-08-01 01:32:00,0.027076784098483575
2022-08-01 01:33:00,0.027459983917061725
2022-08-01 01:34:00,0.027850006752976997
2022-08-01 01:35:00,0.028247015450098667
2022-08-01 01:36:00,0.02865117822179597
2022-08-01 01:37:00,0.029062668891000065
2022-08-01 01:38:00,0.02948166714421241
2022-08-01 01:39:00,0.029908358800388113
2022-08-01 01:40:00,0.03034293609581673
2022-08-01 01:41:00,0.030785597986166202
2022-08-01 01:42:00,0.031236550466967827
2022-08-01 01:43:00,0.03169600691394581
2022-08-01 01:44:00,0.03216418844469482
2022-08-01 01:45:00,0.03264132430340516
2022-08-01 01:46:00,0.03312765227037828
2022-08-01 01:47:00,0.033623419098417484
2022-08-01 01:48:00,0.034128880978170795
2022-08-01 01:49:00,0.03464430403489405
2022-08-01 01:50:00,0.035169964859197655
2022-08-01 01:51:00,0.03570615107469699
2022-08-01 01:52:00,0.036253161945739354
2022-08-01 01:53:00,0.03681130902870189
2022-08-01 01:54:00,0.037380916870719094
2022-08-01 01:55:00,0.03796232376019448
2022-08-01 01:56:00,0.03855588253372133
2022-08-01 01:57:00,0.03916196144481354
2022-08-01 01:58:00,0.0397809451002078
2022-08-01 01:59:00,0.040413235470301956
2022-08-01 02:00:00,0.04105925298098967
2022-08-01 02:01:00,0.04171943769503361
2022-08-01 02:02:00,0.042394250592073135
2022-08-01 02:03:00,0.043084174957472854
2022-08-01 02:04:00,0.043789717891497215
