,Min,Accumulation,Rate (mm/hr),Rate (mm/min)
0,0,0.0,0.0,0.0
1,1,0.0344974764457542,2.069848586745252,0.0344974764457542
2,2,0.06939291310094044,2.0937261993111744,0.03489543665518624
3,3,0.10469148776542954,2.117914479869346,0.035298574664489095
4,4,0.14039845646568658,2.1424181220154224,0.03570696870025704
5,5,0.17651915486666678,2.167241904058812,0.0361206984009802
6,6,0.2130589997147377,2.192390690884256,0.036539844848070935
7,7,0.2500234903124727,2.2178694358640976,0.03696449059773496
8,8,0.28741821002617945,2.243683182822407,0.03739471971370678
9,9,0.3252488278270721,2.2698370680535582,0.037830617800892634
10,10,0.363521099866957,2.2963363223930955,0.038272272039884925
11,11,0.4022408710894126,2.323186273347334,0.03871977122245556
12,12,0.441414076877488,2.350392347284526,0.039173205788075434
13,13,0.48104674473883613,2.377960071680887,0.039632667861348114
14,14,0.5211449960293897,2.4058950774332133,0.040098251290553555
15,15,0.5617150477166908,2.434203101238066,0.0405700516873011
16,16,0.6027632141839304,2.462889988034378,0.04104816646723963
17,17,0.644295909075886,2.4919616935173328,0.041532694891955546
18,18,0.6863196471879756,2.5214242867253756,0.04202373811208959
19,19,0.72884104639962,2.5512839526986664,0.04252139921164444
20,20,0.7718668296532661,2.5815469952187686,0.043025783253646144
21,21,0.8154038269803302,2.612219839623844,0.043536997327064064
22,22,0.8594589775754731,2.643309035708572,0.04405515059514287
23,23,0.9040393319206557,2.6748212607109556,0.04458035434518259
24,24,0.9491520539603823,2.7067633223835963,0.045112722039726605
25,25,0.9948044233297383,2.739142162161361,0.045652369369356016
26,26,1.041003837636746,2.771964858420468,0.0461994143070078
27,27,1.0877578148007572,2.805238629840665,0.046753977164011085
28,28,1.1350739954484614,2.838970838862256,0.047316180647704265
29,29,1.182960145369442,2.873168995258837,0.047886149920980614
30,30,1.2314241580329648,2.9078407598113643,0.04846401266352274
31,31,1.2804740571679873,2.9429939481013534,0.04904989913502256
32,32,1.3301179994083432,2.9786365344213506,0.04964394224035584
33,33,1.3803642770051425,3.0147766558079603,0.05024627759679934
34,34,1.4312213206085176,3.0514226162025038,0.05085704360337506
35,35,1.4826977021209562,3.0885828907463164,0.05147638151243861
36,36,1.534802137624451,3.126266130209685,0.05210443550349475
37,37,1.5875434903839363,3.1644811655691196,0.05274135275948533
38,38,1.6409307739294388,3.203237012730149,0.053387283545502484
39,39,1.6949731552195257,3.242542877405219,0.05404238129008698
40,40,1.7496799578887616,3.2824081601541533,0.05470680266923589
41,41,1.8050606655819554,3.3228424615916285,0.05538070769319381
42,42,1.861124925378069,3.3638555877668175,0.056064259796113625
43,43,1.9178825513068747,3.4054575557283373,0.05675762592880562
44,44,1.97534352796149,3.447658599276915,0.05746097665461525
45,45,2.0335180142100118,3.4904691749113104,0.05817448624852184
46,46,2.0924163470097703,3.533899967985512,0.058898332799758535
47,47,2.152049045327687,3.5779618990749906,0.05963269831791651
48,48,2.2124268141705095,3.6226661305693586,0.06037776884282264
49,49,2.2735605487287294,3.6680240734931946,0.06113373455821991
50,50,2.3354613386383147,3.714047394575122,0.06190078990958536
51,51,2.398140472364407,3.7607480235655277,0.06267913372609213
52,52,2.461609441711395,3.808138160819299,0.06346896934698831
53,53,2.525879946464038,3.8562302851585706,0.06427050475264284
54,54,2.59096389916432,3.9050371620169066,0.06508395270028178
55,55,2.656873430029195,3.95457185189251,0.06590953086487517
56,56,2.7236208920143774,4.004847719110947,0.06674746198518244
57,57,2.7912188660296913,4.055878440918832,0.06759797401531387
58,58,2.859680166311777,4.1076780169251315,0.06846130028208552
59,59,2.9290178459600993,4.1602607788993495,0.06933767964832249
60,60,2.9992452026425918,4.213641400949548,0.07022735668249247
61,61,3.0703757844775423,4.267834910097035,0.07113058183495058
62,62,3.1424233960986143,4.322856697264319,0.07204761162107198
63,63,3.215402104910254,4.3787225286983755,0.07297870881163959
64,64,3.289326247541085,4.4354485578498615,0.07392414263083102
65,65,3.364210436503272,4.493051337731231,0.07488418896218718
66,66,3.4400695670662143,4.551547833776528,0.07585913056294213
67,67,3.5169188243533682,4.610955437229238,0.07684925728715397
68,68,3.594773690671406,4.671291979082257,0.07785486631803762
69,69,3.6736499530814517,4.732575744602752,0.07887626241004586
70,70,3.753563711222577,4.79482548846752,0.07991375814112534
71,71,3.8345313853982983,4.858060450543276,0.08096767417572126
72,72,3.9165697249373443,4.922300372342763,0.08203833953904605
73,73,3.9996958168406693,4.987565514199499,0.08312609190332498
74,74,4.083927094727146,5.053876673188613,0.08423127788647689
75,75,4.1692813480912365,5.121255201845418,0.0853542533640903
76,76,4.255776731886481,5.189723027714681,0.08649538379524468
77,77,4.34343177644967,5.259302673791311,0.08765504456318851
78,78,4.432265397780967,5.330017279877861,0.08883362133129769
79,79,4.522296908196665,5.401890624941874,0.0900315104156979
80,80,4.613546027371674,5.474947150500533,0.09124911917500889
81,81,4.706032893790179,5.549211985110301,0.09248686641850501
82,82,4.799778076623834,5.624710970019304,0.09374518283365507
83,83,4.894802588058005,5.701470686050261,0.09502451143417101
84,84,4.9911278960878045,5.779518481787953,0.09632530802979922
85,85,5.088775937807022,5.858882503153069,0.09764804171921782
86,86,5.187769133214299,5.939591724436628,0.09899319540727713
87,87,5.288130399562549,6.021675980894976,0.1003612663482496
88,88,5.389883166279247,6.105166003001852,0.10175276671669753
89,89,5.493051390486708,6.190093452447698,0.10316822420746163
90,90,5.597659573153675,6.276490960018002,0.1046081826669667
91,91,5.7037327759112495,6.3643921654544755,0.10607320275757459
92,92,5.811296638568465,6.453831759432944,0.10756386265721574
93,93,5.920377397365213,6.544845527804863,0.10908075879674772
94,94,6.031001904002519,6.6374703982383565,0.11062450663730594
95,95,6.143197645493084,6.731744489433886,0.11219574149056477
96,96,6.256992764877767,6.827707163080987,0.11379511938468312
97,97,6.372416082857002,6.9253990787540864,0.11542331797923477
98,98,6.489497120389316,7.024862251938888,0.1170810375323148
99,99,6.608266122313143,7.126140115429607,0.11876900192382678
100,100,6.72875408205185,7.229277584322418,0.12048795973870696
101,101,6.850992767466426,7.334321124874563,0.12223868541457605
102,102,6.975014747924981,7.44131882751331,0.12402198045855517
103,103,7.100853422663338,7.550320484301398,0.12583867473835664
104,104,7.228543050516661,7.661377671199396,0.12768962785332327
105,105,7.358118781108147,7.774543835489158,0.12957573059148597
106,106,7.48961668758758,7.889874388765943,0.13149790647943238
107,107,7.623073801019674,8.007426805925686,0.13345711343209476
108,108,7.758528146530442,8.127260730646064,0.13545434551076774
109,109,7.896018781328215,8.249438087866388,0.13749063479777313
110,110,8.035585834725932,8.374023203863015,0.1395670533977169
111,111,8.177270550301555,8.5010829345374,0.14168471557562334
112,112,8.321115330345336,8.630686802626819,0.14384478004378032
113,113,8.467163782755314,8.7629071445987,0.14604845240997832
114,114,8.615460770556657,8.897819268080589,0.14829698780134315
115,115,8.76605246423584,9.035501620750921,0.15059169367918201
116,116,8.918986397098337,9.176035971749847,0.15293393286249746
117,117,9.074311523877043,9.319507606722368,0.15532512677870614
118,118,9.232078282840435,9.466005537803532,0.1577667589633922
119,119,9.392338661672701,9.615622729935964,0.16026037883226607
120,120,9.555146267424488,9.76845634510724,0.16280760575178732
121,121,9.72055640086219,9.924608006262083,0.1654101334377014
122,122,9.888626135576468,10.084184082856673,0.16806973471427789
123,123,10.059414402247391,10.24729600025541,0.1707882666709235
124,124,10.232982078504637,10.41406057543476,0.173567676257246
125,125,10.409392084867527,10.58460038177337,0.1764100063628895
126,126,10.588709487301685,10.75904414604949,0.17931740243415817
127,127,10.771001606987946,10.937527181175675,0.18229211968626124
128,128,10.956338137965604,11.120191858659467,0.1853365309776578
129,129,11.144791273387488,11.307188125313061,0.18845313542188435
130,130,11.336435841210138,11.49867406935897,0.1916445678226495
131,131,11.531349450239876,11.694816541784299,0.1949136090297383
132,132,11.729612647567173,11.895791839637795,0.19826319732729658
133,133,11.931309088549483,12.10178645893862,0.20169644098231032
134,134,12.136525720649392,12.312997925994509,0.20521663209990848
135,135,12.345352982603883,12.529635717269478,0.2088272619544913
136,136,12.557885020595867,12.75192227951905,0.21253203799198417
137,137,12.774219923325244,12.980094163762637,0.21633490272937728
138,138,12.994459978139977,13.214403288883965,0.22024005481473274
139,139,13.21871195069434,13.455118353261781,0.22425197255436302
140,140,13.44708739096115,13.702526416008567,0.22837544026680945
141,141,13.679702968846703,13.956934673133219,0.23261557788555365
142,142,13.916680843155698,14.218672458539672,0.23697787430899453
143,143,14.158149068243347,14.488093505258952,0.2414682250876492
144,144,14.404242043394264,14.76557850905504,0.24609297515091733
145,145,14.655101010806808,15.051538044752633,0.2508589674125439
146,146,14.910874609069388,15.346415895754824,0.2557735982625804
147,147,15.171719490231471,15.65069286972495,0.2608448811620825
148,148,15.437801010047755,15.964891188977042,0.26608151981628403
149,149,15.709294002774353,16.289579563595886,0.2714929927265981
150,150,15.986383654105753,16.625379079883977,0.2770896513313996
151,151,16.26926648857065,16.972970067893876,0.2828828344648979
152,152,16.558151491098425,17.333100151666443,0.28888500252777405
153,153,16.853261386717477,17.706593737143166,0.29510989561905276
154,154,17.154834107709213,18.09436325950415,0.3015727209917358
155,155,17.46312448436219,18.497422599178606,0.30829037665297676
156,156,17.77840620422361,18.91690319168525,0.31528171986142084
157,157,18.10097409608191,19.354073511497916,0.3225678918582986
158,158,18.431146809745588,19.81036281982071,0.3301727136636785
159,159,18.769269982299974,20.287390353263177,0.3381231725543863
160,160,19.115720007775895,20.78700152855525,0.34645002547592085
161,161,19.470908562750488,21.311313298475554,0.35518855497459256
162,162,19.83528808931959,21.862771594146153,0.36437952656910255
163,163,20.209358505167135,22.44422495085267,0.3740704158475445
164,164,20.593675507403063,23.059020134155688,0.38431700223592813
165,165,20.988860977075014,23.711128180317047,0.3951854696719508
166,166,21.395616198378512,24.405313278209917,0.4067552213034986
167,167,21.814738919723894,25.147363280722885,0.4191227213453814
168,168,22.24714576986731,25.94441100860493,0.4324068501434155
169,169,22.693902319732402,26.805392991905563,0.4467565498650927
170,170,23.156264367601292,27.741722872133394,0.4623620478688899
171,171,23.635736243185978,28.76831253508115,0.47947187558468585
172,172,24.134155932401008,29.905181352901806,0.4984196892150301
173,173,24.653824482025495,31.18011297746925,0.5196685496244875
174,174,25.197712824100538,32.63330052450257,0.5438883420750429
175,175,25.76981417022348,34.32608076737651,0.5721013461229418
176,176,26.37579757858776,36.35900450185687,0.6059834083642812
177,177,27.0243729150758,38.91452018928241,0.6485753364880402
178,178,27.73070724124506,42.380059570155524,0.7063343261692587
179,179,28.52825486682132,47.85285753457565,0.7975476255762608
180,180,29.61,64.90470799072071,1.0817451331786785
181,181,30.691745133178678,64.90470799072071,1.0817451331786785
182,182,31.48929275875494,47.85285753457565,0.7975476255762608
183,183,32.195627084924205,42.38005957015595,0.7063343261692658
184,184,32.84420242141224,38.9145201892822,0.6485753364880367
185,185,33.45018582977652,36.35900450185687,0.6059834083642812
186,186,34.02228717589946,34.326080767376084,0.5721013461229347
187,187,34.56617551797451,32.633300524503,0.54388834207505
188,188,35.085844067599,31.180112977469463,0.519668549624491
189,189,35.58426375681402,29.905181352901167,0.49841968921501945
190,190,36.06373563239871,28.768312535081577,0.47947187558469295
191,191,36.5260976802676,27.74172287213318,0.46236204786888635
192,192,36.97285423013269,26.805392991905563,0.4467565498650927
193,193,37.405261080276105,25.94441100860493,0.4324068501434155
194,194,37.82438380162149,25.147363280722885,0.4191227213453814
195,195,38.231139022924985,24.405313278209917,0.4067552213034986
196,196,38.626324492596936,23.711128180317047,0.3951854696719508
197,197,39.01064149483287,23.0590201341559,0.3843170022359317
198,198,39.38471191068041,22.44422495085246,0.37407041584754097
199,199,39.74909143724951,21.862771594146153,0.36437952656910255
200,200,40.1042799922241,21.31131329847534,0.355188554974589
201,201,40.450730017700025,20.787001528555464,0.3464500254759244
202,202,40.78885319025441,20.287390353262964,0.33812317255438273
203,203,41.11902590391809,19.810362819821137,0.3301727136636856
204,204,41.44159379577639,19.354073511497916,0.3225678918582986
205,205,41.75687551563781,18.916903191685037,0.3152817198614173
206,206,42.065165892290786,18.497422599178606,0.30829037665297676
207,207,42.36673861328252,18.09436325950415,0.3015727209917358
208,208,42.66184850890158,17.70659373714338,0.2951098956190563
209,209,42.95073351142935,17.33310015166623,0.2888850025277705
210,210,43.23361634589425,16.972970067893982,0.2828828344648997
211,211,43.51070599722564,16.625379079883658,0.2770896513313943
212,212,43.78219898995224,16.289579563595993,0.2714929927265999
213,213,44.04828050976853,15.964891188977361,0.26608151981628936
214,214,44.30912539093061,15.650692869724736,0.26084488116207893
215,215,44.56489898919319,15.346415895754717,0.2557735982625786
216,216,44.81575795660574,15.051538044752846,0.25085896741254743
217,217,45.06185093175665,14.765578509054933,0.24609297515091555
218,218,45.3033191568443,14.488093505259059,0.24146822508765098
219,219,45.540297031153294,14.218672458539459,0.23697787430899098
220,220,45.772912609038855,13.956934673133645,0.23261557788556075
221,221,46.00128804930566,13.70252641600814,0.22837544026680234
222,222,46.22554002186003,13.455118353262208,0.22425197255437013
223,223,46.44578007667475,13.214403288883432,0.22024005481472386
224,224,46.66211497940414,12.98009416376317,0.21633490272938616
225,225,46.874647017396114,12.751922279518624,0.21253203799197706
226,226,47.08347427935061,12.529635717269798,0.20882726195449663
227,227,47.288690911450516,12.312997925994296,0.20521663209990493
228,228,47.49038735243283,12.101786458939046,0.20169644098231743
229,229,47.688650549760126,11.895791839637582,0.19826319732729303
230,230,47.883564158789866,11.694816541784405,0.1949136090297401
231,231,48.07520872661251,11.498674069358543,0.1916445678226424
232,232,48.2636618620344,11.307188125313274,0.1884531354218879
233,233,48.448998393012054,11.120191858659467,0.1853365309776578
234,234,48.631290512698314,10.937527181175568,0.18229211968625947
235,235,48.81060791513247,10.75904414604949,0.17931740243415817
236,236,48.98701792149536,10.584600381773157,0.17641000636288595
237,237,49.16058559775261,10.414060575434974,0.17356767625724956
238,238,49.331373864423526,10.24729600025509,0.17078826667091818
239,239,49.49944359913781,10.084184082857206,0.16806973471428677
240,240,49.66485373257551,9.924608006261764,0.16541013343769606
241,241,49.827661338327296,9.76845634510724,0.16280760575178732
242,242,49.987921717159566,9.615622729936177,0.16026037883226962
243,243,50.145688476122956,9.466005537803426,0.15776675896339043
244,244,50.30101360290166,9.319507606722368,0.15532512677870614
245,245,50.45394753576416,9.17603597174974,0.15293393286249568
246,246,50.60453922944335,9.035501620751347,0.15059169367918912
247,247,50.75283621724469,8.897819268080696,0.14829698780134493
248,248,50.89888466965466,8.762907144598273,0.14604845240997122
249,249,51.04272944969844,8.630686802626713,0.14384478004377854
250,250,51.18441416527407,8.50108293453772,0.14168471557562867
251,251,51.32398121867178,8.374023203862748,0.13956705339771247
252,252,51.461471853469554,8.249438087866281,0.13749063479777135
253,253,51.59692619898033,8.127260730646384,0.13545434551077307
254,254,51.73038331241242,8.007426805925633,0.13345711343209388
255,255,51.86188121889185,7.8898743887658895,0.1314979064794315
256,256,51.99145694948334,7.774543835489425,0.1295757305914904
257,257,52.119146577336664,7.66137767119929,0.1276896278533215
258,258,52.24498525207502,7.550320484301238,0.12583867473835397
259,259,52.369007232533576,7.44131882751347,0.12402198045855783
