lamp_type_lupvalue,lamp_rating_w,Latitude,Longitude
9.0,,-37.81842446,144.9737472
13.0,35.0,-37.81723475,144.9454982
9.0,,-37.81972177,144.967609
1.0,,-37.81921594,144.9469887
,,-37.81988998,144.9649738
2.0,14.0,-37.78682757,144.9418344
9.0,,-37.81934065,144.9644333
,,-37.81806969,144.9453616
,,-37.81578507,144.9394991
16.0,,-37.82313126,144.9482244
,,-37.81599366,144.9398514
1.0,,-37.81466899,144.9391507
13.0,70.0,-37.81876075,144.9462239
9.0,,-37.81908897,144.9742769
9.0,,-37.8224974,144.9453632
5.0,70.0,-37.82365918,144.9432744
9.0,,-37.8192822,144.9646844
13.0,14.0,-37.81175255,144.9678303
13.0,35.0,-37.82331972,144.9473379
9.0,,-37.81925804,144.9433135
5.0,70.0,-37.82390109,144.9435543
13.0,70.0,-37.8184511,144.944958
9.0,,-37.80246641,144.9661539
13.0,70.0,-37.82432237,144.9452446
9.0,,-37.81592161,144.939305
5.0,70.0,-37.81997797,144.9513849
12.0,,-37.82336849,144.9473338
12.0,,-37.8236361,144.9473521
5.0,70.0,-37.81800364,144.9461216
9.0,,-37.80249078,144.9630439
1.0,,-37.81743105,144.9518645
5.0,70.0,-37.81516032,144.9416324
13.0,100.0,-37.81957663,144.9610779
5.0,70.0,-37.81477667,144.9419804
,,-37.819275,144.9433208
1.0,50.0,-37.82498252,144.9471175
9.0,,-37.81958168,144.9747109
12.0,,-37.82367814,144.9472734
9.0,,-37.78697128,144.9415629
9.0,,-37.81920235,144.9434476
9.0,10.0,-37.82381859,144.9474698
5.0,70.0,-37.82469998,144.9456617
5.0,70.0,-37.81479635,144.941679
13.0,70.0,-37.81951307,144.9613474
,,-37.8201954,144.9447916
13.0,35.0,-37.82280295,144.9471925
1.0,50.0,-37.81334339,144.9415607
1.0,,-37.81575625,144.9391469
,,-37.81513931,144.9415786
13.0,70.0,-37.83243027,144.9728514
5.0,70.0,-37.81937094,144.9527212
5.0,70.0,-37.81430908,144.9415083
13.0,35.0,-37.8237772,144.947362
13.0,35.0,-37.82354996,144.9472583
5.0,70.0,-37.81875889,144.9465887
9.0,,-37.80249608,144.9632612
13.0,35.0,-37.81879637,144.9429472
9.0,,-37.81916288,144.974342
9.0,,-37.80825561,144.9633186
3.0,36.0,-37.8176173,144.9489713
1.0,,-37.81530295,144.9416944
1.0,,-37.81620509,144.9392545
9.0,,-37.80238164,144.9630345
2.0,14.0,-37.81593009,144.9395183
1.0,,-37.82137697,144.9332837
9.0,,-37.811395,144.9691642
2.0,14.0,-37.81956941,144.9636537
1.0,20.0,-37.81144884,144.9816169
9.0,,-37.80788454,144.9628997
9.0,,-37.82279152,144.9467875
,,-37.81591935,144.939301
9.0,,-37.80974581,144.9735206
13.0,35.0,-37.8235211,144.9473645
9.0,,-37.82021104,144.9451357
9.0,,-37.80810812,144.9630212
,125.0,-37.81984261,144.9668429
3.0,36.0,-37.817718,144.94982
13.0,70.0,-37.81831757,144.9446856
9.0,,-37.81813478,144.9504255
13.0,14.0,-37.82016989,144.9463753
,70.0,-37.8198824,144.96682
1.0,,-37.81760254,144.9516686
,,-37.81954804,144.9651177
1.0,50.0,-37.81342043,144.9413591
9.0,5.0,-37.82033238,144.9605358
9.0,,-37.81912938,144.9743737
1.0,50.0,-37.81504534,144.9413442
1.0,,-37.81761881,144.9512163
12.0,,-37.82392992,144.947367
12.0,,-37.82345747,144.947347
5.0,70.0,-37.82473841,144.9469516
5.0,70.0,-37.82447185,144.9453677
13.0,35.0,-37.82322815,144.9472056
3.0,36.0,-37.81753573,144.9498111
5.0,70.0,-37.82431332,144.945161
13.0,70.0,-37.81774113,144.945509
