feature,condition_rating,Latitude,Longitude
Bicycle Rails,3.16,-37.819824944422336,144.96697342476529
Bollard,1.0,-37.81885382546881,144.97925931362002
Bicycle Rails,3.16,-37.81985689605124,144.96650143475767
Bicycle Rails,4.16,-37.819863869075974,144.96650340184215
Bollard,2.75,-37.801431820996996,144.96243629180537
Bicycle Rails,4.16,-37.81987091844795,144.96650457160766
Bicycle Rails,3.16,-37.8198778718618,144.9665054031968
Bicycle Rails,3.16,-37.82060707389311,144.96320346858985
Bicycle Rails,3.16,-37.82059819157578,144.9632005318491
Bicycle Rails,3.16,-37.820612192661464,144.96313471075717
Bicycle Rails,3.16,-37.820620712717194,144.96313754384525
Bollard,1.0,-37.803684605158665,144.95002761021766
Bollard,1.0,-37.82261686858755,144.91722422412388
Bicycle Rails,3.1,-37.797071313959705,144.96571115940245
Bollard,2.87,-37.79157220117837,144.92188275283831
Bicycle Rails,3.17,-37.79551637289071,144.95783031841881
Bicycle Rails,3.16,-37.81454897944997,144.96249837125364
Bicycle Rails,3.17,-37.81630891846281,144.96339102520244
Bicycle Rails,3.1,-37.80940702603437,144.96408092467382
Bicycle Rails,3.1,-37.809389620229624,144.96413228988106
Bicycle Rails,3.1,-37.809368897983056,144.964200329895
Bicycle Rails,3.1,-37.80926587958017,144.96454357997166
Bicycle Rails,3.1,-37.809228926139134,144.96466840465553
Bicycle Rails,3.17,-37.813923623950444,144.97224843796633
Bollard,1.0,-37.821981974794205,144.98478447259248
Bicycle Rails,3.17,-37.81397933612503,144.97206118659702
Bollard,3.1,-37.81903999802892,144.958711326937
Bicycle Rails,3.17,-37.817795983998984,144.9589433764687
Bicycle Rails,3.11,-37.80668184307305,144.95815131940518
Bollard,3.0,-37.81979007377265,144.9727490668882
Bicycle Rails,3.11,-37.80681598632153,144.95813331286928
Bicycle Rails,3.11,-37.80692105122014,144.95811701592174
Bicycle Rails,3.11,-37.807101808292416,144.95810033761933
Bicycle Rails,3.16,-37.807334879311796,144.95931835318373
Bicycle Rails,3.16,-37.807332015487006,144.95932990401414
Bicycle Rails,3.12,-37.80751155569633,144.9599399067427
Bollard,3.13,-37.81655918562839,144.9877435246967
Bollard,1.25,-37.79764982554557,144.96900833299097
Bollard,4.0,-37.8225087155048,144.97012180106105
Bicycle Rails,2.12,-37.806383955369974,144.95929739505715
Bicycle Rails,3.02,-37.82778506044461,144.96617722588005
Bicycle Rails,3.16,-37.821605002146605,144.96902356522972
Bicycle Rails,3.16,-37.821614998536496,144.9690284034702
Bicycle Rails,3.16,-37.82162498121512,144.96903244684472
Bollard,2.87,-37.79147925958569,144.9220342329741
Bicycle Rails,3.17,-37.799758857665694,144.9669873481451
Bicycle Rails,3.17,-37.79939588668508,144.96705136073584
Bicycle Rails,3.1,-37.797106881110345,144.9680845601534
Bollard,1.0,-37.82232615567532,144.98561251142343
Bollard,3.0,-37.78291740155278,144.963083859487
Bicycle Rails,3.1,-37.797472856774434,144.9693754655439
Bicycle Rails,3.1,-37.797477865414606,144.96942030174952
Bicycle Rails,3.1,-37.79751661013818,144.96978584203504
Bicycle Rails,3.1,-37.79751323451727,144.96976253920866
Bicycle Rails,3.1,-37.79734234503472,144.97028906721593
Bicycle Rails,3.1,-37.79733906561365,144.9702556541531
Bicycle Rails,3.16,-37.813666640151425,144.96580821871478
Bicycle Rails,4.16,-37.81400590195589,144.9659524858654
Bicycle Rails,3.16,-37.814645002093556,144.96604036047066
Bicycle Rails,3.17,-37.81560408672261,144.96582432926266
Bicycle Rails,3.17,-37.81808695655665,144.9572223790269
Bicycle Rails,3.17,-37.818163984029475,144.95696135960029
Bicycle Rails,2.97,-37.8053187878929,144.95800429509296
Bicycle Rails,2.97,-37.805308824564456,144.95800138927794
Bicycle Rails,3.14,-37.80308927186269,144.94893464856722
Bicycle Rails,3.14,-37.80285153802163,144.94882060698794
Bicycle Rails,3.14,-37.80362463166301,144.94964196699334
Bicycle Rails,3.14,-37.80361256370227,144.94964241433848
Bicycle Rails,3.14,-37.803604038283076,144.94964446737873
Bicycle Rails,3.14,-37.80454060790906,144.94923954877487
Bicycle Rails,3.16,-37.81479400684778,144.96630356122375
Bollard,1.0,-37.822279161501115,144.98559947465813
Bicycle Rails,3.16,-37.8147840240858,144.96629951855212
Bollard,1.0,-37.82198899091812,144.98479950508334
Bicycle Rails,4.16,-37.81477402563521,144.96629456754738
Bicycle Rails,3.17,-37.81823299351667,144.95741726775367
Bicycle Rails,3.17,-37.818232109066216,144.9574234265749
Bollard,3.09,-37.81348008135275,144.96981751484432
Bollard,2.87,-37.791390234888325,144.92217788098654
Bicycle Rails,1.17,-37.82033591499001,144.95940439263887
Bicycle Rails,1.17,-37.82020892964894,144.95973143371882
Bicycle Rails,3.15,-37.80472798002965,144.96309339594092
Bicycle Rails,3.14,-37.805912834728204,144.96439031562866
Bicycle Rails,3.14,-37.80592595819619,144.96438836510455
Bicycle Rails,3.14,-37.805934955878904,144.96438755011377
Bicycle Rails,3.14,-37.80594889002135,144.96438557732682
Bicycle Rails,3.14,-37.80658295258867,144.9645625058307
Bicycle Rails,3.14,-37.80656593057912,144.96456831163346
Bicycle Rails,3.14,-37.80660099485802,144.96455837575513
Bollard,2.89,-37.81755891417513,144.9571523048514
Bollard,1.0,-37.82199501231883,144.98481433742003
Bicycle Rails,3.14,-37.810869897422144,144.9476452456642
Bicycle Rails,3.14,-37.80510056377468,144.94996732858547
Bicycle Rails,3.03,-37.80570754945887,144.95540199695867
Bollard,2.89,-37.81757489170673,144.95714345797478
Bollard,1.0,-37.82229617807215,144.9855985575444
Bollard,4.0,-37.82277431430994,144.97147213866813
Bicycle Rails,3.03,-37.805438033159604,144.9510016916288
Bicycle Rails,1.69,-37.793098232751866,144.97146022108075
Bicycle Rails,1.69,-37.793106946618046,144.9714586199869
Bicycle Rails,1.69,-37.793117107558324,144.9714573199991
Bicycle Rails,1.69,-37.7931280635373,144.97145508976487
Bicycle Rails,1.69,-37.793258847912405,144.97143027626376
Bicycle Rails,1.17,-37.799871518890185,144.94318820313802
Bollard,1.0,-37.822002012890955,144.98482846148335
Bollard,4.0,-37.822802510320514,144.97143489845033
Bicycle Rails,1.17,-37.79986636711208,144.9431976589807
Bicycle Rails,1.17,-37.799860136429594,144.94320725832355
Bicycle Rails,1.17,-37.79985394823651,144.94321413075124
Bicycle Rails,3.1,-37.8127516007356,144.96864361345
Bicycle Rails,2.99,-37.82996949977962,144.9663176659962
Bicycle Rails,2.99,-37.8299647830374,144.9663315433976
Bicycle Rails,2.99,-37.82996151533533,144.96634583548524
Bicycle Rails,2.96,-37.80222170469315,144.9596518416085
Bicycle Rails,3.03,-37.80552789898424,144.95181085845104
Bicycle Rails,3.03,-37.80554010478239,144.95193750494428
Bollard,1.0,-37.82200796364731,144.98484443181667
Bollard,3.0,-37.77996617412101,144.9625551589053
Bicycle Rails,3.12,-37.80617860167615,144.95401193394702
Bicycle Rails,3.17,-37.81749718969633,144.95926775473322
Bollard,2.89,-37.817592831173386,144.95713342100606
Bollard,3.0,-37.78227365828731,144.96327491761238
Bollard,3.0,-37.78592152261213,144.95381122184088
Bollard,3.1,-37.809343759812194,144.9683592224588
Bicycle Rails,3.17,-37.81749343108587,144.95927967261164
Bicycle Rails,4.17,-37.81716424682648,144.96474740627383
Bicycle Rails,3.14,-37.80504399553014,144.94947708997447
Bicycle Rails,2.36,-37.80046281131304,144.95967923447046
Bollard,1.0,-37.822013988929506,144.9848594912693
Bollard,3.0,-37.78728603984861,144.9504345514701
Bicycle Rails,2.36,-37.800765329924005,144.9596268428058
Bicycle Rails,2.72,-37.79999961084148,144.959206230113
Bicycle Rails,2.72,-37.799998783173436,144.95918967126656
Bicycle Rails,3.13,-37.812803054233825,144.97104775408127
Bicycle Rails,2.96,-37.804773166221004,144.96034658117517
Bicycle Rails,2.96,-37.804788439600244,144.96034388934137
Bicycle Rails,3.16,-37.80732897390669,144.95934679818703
Bicycle Rails,3.17,-37.80391082049457,144.95871296535174
Bicycle Rails,3.17,-37.80390169495407,144.95870640189833
Bicycle Rails,2.87,-37.81055892338486,144.95721326915594
Bicycle Rails,3.17,-37.814054636595415,144.9710755105963
Bicycle Rails,2.96,-37.810390974801436,144.98433453077504
Bollard,3.0,-37.785945036992906,144.95375379765977
Bicycle Rails,2.96,-37.81038237394197,144.98424798256116
Bicycle Rails,2.13,-37.81416311756333,144.9716758422141
Bicycle Rails,4.12,-37.81455500541423,144.9690545819949
Bicycle Rails,4.12,-37.81456505076074,144.96906225836355
Barbeque,4.0,-37.82744680370206,144.981675215773
Bollard,3.0,-37.78437473780584,144.9569361671482
Bicycle Rails,3.12,-37.815015876318704,144.9689715216828
Bicycle Rails,3.12,-37.81502666184089,144.96897508834192
Bicycle Rails,3.12,-37.807878073213196,144.96599377873534
Bicycle Rails,3.12,-37.80788896457896,144.9659982504386
Bicycle Rails,3.16,-37.81100387228497,144.96458433608828
Bicycle Rails,3.16,-37.811015482334874,144.96458867442396
Bicycle Rails,4.16,-37.81431050829374,144.96609906855397
Bicycle Rails,4.16,-37.81430150458224,144.9660943174935
Bicycle Rails,4.16,-37.81214331864421,144.964891886221
Bicycle Rails,4.16,-37.81215292937578,144.96489525724078
Bollard,3.0,-37.78742026011875,144.95091821392256
Bicycle Rails,1.17,-37.81712880158381,144.9711946816349
Bicycle Rails,3.17,-37.81885115826191,144.9622309129013
Bicycle Rails,3.17,-37.818856523436686,144.96222849331016
Bicycle Rails,3.17,-37.81836579047112,144.95624669819017
Bollard,3.1,-37.812094979708306,144.97223940394701
Bicycle Rails,3.17,-37.818368621812205,144.9562281031432
Bicycle Rails,4.15,-37.80666941473189,144.96206380238738
Bollard,3.0,-37.78593961666124,144.95376859527232
Bicycle Rails,4.15,-37.80667111754942,144.9620840869433
Bicycle Rails,3.11,-37.80957209198755,144.95770947008486
Bicycle Rails,3.11,-37.80957449844906,144.95772871364377
Bicycle Rails,3.1,-37.81906685827359,144.95839977175876
Bollard,1.0,-37.80941702250314,144.9684060568878
Bollard,1.0,-37.822311134554525,144.98559837808935
Bollard,1.0,-37.822053017180735,144.98494942897696
Bicycle Rails,3.1,-37.81906163986655,144.95842104552585
Bicycle Rails,3.1,-37.812748865261206,144.9686574331235
Bicycle Rails,3.1,-37.81274499210666,144.9686732150519
Bicycle Rails,4.15,-37.808696223308424,144.97786450075978
Bollard,3.1,-37.81209851651234,144.97222499463848
Bicycle Rails,4.15,-37.80869853641182,144.9778837473545
Bicycle Rails,2.55,-37.806279320316435,144.96131034414543
Bicycle Rails,2.55,-37.8062668313706,144.96131250494042
Bollard,1.0,-37.822944040650825,144.91703336785855
Bicycle Rails,3.12,-37.80317435470151,144.96876477063194
Bicycle Rails,3.12,-37.80317039725806,144.96873909689432
Bicycle Rails,3.12,-37.80238587815834,144.96158119010548
Bicycle Rails,3.12,-37.8023832273766,144.96155820696072
Bicycle Rails,3.1,-37.818103617449175,144.9606996874059
Bicycle Rails,3.17,-37.81698592450212,144.96104511706054
Bicycle Rails,3.17,-37.81698347787223,144.96105995223834
Bicycle Rails,3.16,-37.814265708946294,144.96276220214548
Bicycle Rails,3.16,-37.814261626985314,144.9627762865141
Bicycle Rails,4.16,-37.81626274918595,144.95650281734393
Bicycle Rails,4.16,-37.81625754375172,144.95651443426206
Bicycle Rails,3.16,-37.814954671556826,144.9611021434335
Bicycle Rails,3.16,-37.81494280821015,144.9611456362255
Bollard,2.87,-37.79137795912113,144.9221971892388
Bollard,3.0,-37.785898423173734,144.953851034123
Bollard,3.0,-37.794481702877896,144.95335905410226
Bicycle Rails,3.16,-37.816622498458536,144.95448913716496
Bicycle Rails,3.16,-37.81662093170368,144.95450269860203
Bicycle Rails,3.11,-37.80816180333559,144.96912878902654
Bicycle Rails,2.11,-37.80815745620804,144.96914844483507
Bicycle Rails,4.1,-37.809579228674004,144.9642887169291
Bicycle Rails,4.1,-37.8095840861909,144.96427256766563
Bollard,3.0,-37.78581107590192,144.95393270196007
Bollard,4.0,-37.793444823895825,144.9546775137261
Bollard,3.0,-37.78568148511202,144.95397931200344
Bicycle Rails,3.09,-37.81272945161518,144.95340160337335
Bicycle Rails,3.09,-37.81271097519859,144.95347924270874
Bicycle Rails,3.09,-37.811749861010256,144.95604680767258
Bicycle Rails,3.09,-37.811742893525796,144.95606074430924
Bollard,1.0,-37.822059042449965,144.98496448844773
Bollard,3.0,-37.785555040376124,144.95402027112786
Bollard,3.0,-37.78743870183271,144.95089045167745
Bollard,3.0,-37.78582828777294,144.9462334757903
Bicycle Rails,3.11,-37.81154288082672,144.9561673558744
Bicycle Rails,2.91,-37.81160190215228,144.95619298996493
Bicycle Rails,1.17,-37.81102955370195,144.96096931770657
Bicycle Rails,3.11,-37.81456120346605,144.95784597298714
Bollard,1.0,-37.820069673103546,144.9812964719948
Bicycle Rails,3.11,-37.81458481974357,144.95785668169748
Bicycle Rails,3.11,-37.81460519407721,144.95757656251237
Bollard,3.0,-37.78077883406015,144.9508034811816
Bicycle Rails,3.11,-37.81462246577705,144.95758517410084
Bicycle Rails,3.11,-37.8188635727671,144.95952900787879
Bicycle Rails,2.91,-37.81650769424406,144.95872156260828
Bollard,2.74,-37.80308047569211,144.95083640397215
Bollard,3.14,-37.793453754416895,144.91840749625183
Bollard,2.8,-37.794582253951,144.92064982095488
Bicycle Rails,3.11,-37.816685626443544,144.9588018597818
Bicycle Rails,3.11,-37.816841393903545,144.9585964993333
Bicycle Rails,3.11,-37.81728983758106,144.95908625373877
Bollard,1.0,-37.82343499514826,144.91746627012006
Bicycle Rails,3.11,-37.81730800992703,144.95909484115828
Bicycle Rails,3.15,-37.8071489010935,144.9684874176099
Bicycle Rails,3.17,-37.81405935016914,144.97105618406428
Bicycle Rails,3.12,-37.80214537262517,144.95593103267277
Bollard,2.34,-37.80307943469256,144.95082836875287
Bollard,1.0,-37.77554042406108,144.93972031830396
Bicycle Rails,2.95,-37.80407354933807,144.96046952772488
Bicycle Rails,3.09,-37.80438808622664,144.96059592033927
Bicycle Rails,2.91,-37.79669957587455,144.96898995458687
Bicycle Rails,2.91,-37.796648655847946,144.9690002075358
Bicycle Rails,2.91,-37.79789322540483,144.9687883822868
Bicycle Rails,2.91,-37.797875353279494,144.96879193824202
Bollard,2.11,-37.806792942446116,144.9581504171948
Bicycle Rails,3.1,-37.79729727914176,144.96776998144935
Bicycle Rails,3.1,-37.797298859459,144.96778322568872
Bicycle Rails,4.17,-37.81728102030318,144.9684774171932
Bicycle Rails,4.17,-37.81728408276842,144.96846688207933
Bollard,3.0,-37.80062840345517,144.9577894669154
Bicycle Rails,2.55,-37.80027119917615,144.96114528625225
Bollard,2.52,-37.79768891327578,144.9734324964769
Bollard,1.25,-37.797688932181345,144.96894536652695
Bollard,3.0,-37.82413501419463,144.9769934803985
Bicycle Rails,2.55,-37.80040066489045,144.9611225321959
Bicycle Rails,3.08,-37.8018681086864,144.96560703452894
Bicycle Rails,3.08,-37.80186464591444,144.96557873560576
Bicycle Rails,3.08,-37.80185822788538,144.96553586650734
Bicycle Rails,3.08,-37.80185525861957,144.96551005271562
Bicycle Rails,2.91,-37.79712234538617,144.96920051523122
Bollard,1.0,-37.77553843277694,144.93970436515934
Bicycle Rails,2.92,-37.79761761245429,144.97069969476453
Bicycle Rails,4.16,-37.80873234622072,144.96354072567186
Bicycle Rails,4.16,-37.8087588932682,144.9635489696168
Bollard,3.0,-37.80940207031542,144.96845871691707
Bicycle Rails,4.16,-37.80879528055946,144.96356864260616
Bicycle Rails,3.17,-37.81502188156448,144.9684994792767
Bicycle Rails,4.17,-37.81519276144253,144.96722115354902
Bicycle Rails,3.16,-37.810752319129826,144.9616805171383
Bicycle Rails,4.16,-37.812804150209125,144.96262494852655
Bollard,1.0,-37.77553645737046,144.9396893198544
Bicycle Rails,1.0,-37.80734895779961,144.9636454064725
Bicycle Rails,1.0,-37.80744887252043,144.9633104275519
Bicycle Rails,1.0,-37.80745224773441,144.96329715903414
Bicycle Rails,1.0,-37.80745526264737,144.96328390041518
Bicycle Rails,1.0,-37.80745924285476,144.96326913867568
Bollard,1.0,-37.77553437600814,144.93967336921244
Bicycle Rails,1.0,-37.807462195181074,144.96325747195445
Bicycle Rails,1.0,-37.807465633226805,144.96324783640364
Bicycle Rails,3.15,-37.806738942449286,144.964708265963
Bicycle Rails,3.15,-37.80674042130698,144.96472083309655
Bollard,3.0,-37.79183290809145,144.92084614365513
Bicycle Rails,3.17,-37.81689695525901,144.96977933903693
Bicycle Rails,3.17,-37.81689977895957,144.96976540260476
Bicycle Rails,3.17,-37.8168328945366,144.9622834637856
Bicycle Rails,3.1,-37.81758913544456,144.9638812375973
Bicycle Rails,3.1,-37.817622313143666,144.96389770669597
Bicycle Rails,3.11,-37.807327855871236,144.95553131514987
Bicycle Rails,3.11,-37.80733890743106,144.9555294201557
Bicycle Rails,3.17,-37.81688592179384,144.96424453793807
Bicycle Rails,3.11,-37.81996284878762,144.9572072397611
Bicycle Rails,3.12,-37.813842934479496,144.95441239580583
Bicycle Rails,3.03,-37.82356528078503,144.9812930182765
Bicycle Rails,3.03,-37.82356977941443,144.9813451559913
